"Nachname","Vorname","Stimmen","BFS-Nr.","Gemeindenamen","Bisher","Gewählt","Wahlkreis-Nr.","Wahlkreis","Kandidaten-Nr."
"Aegerter","Christian","39","60","Höri","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","10","61","Hüntwangen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","39","62","Kloten","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","25","63","Lufingen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","51","64","Nürensdorf","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","45","65","Oberembrach","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","43","66","Opfikon","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","126","67","Rafz","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","19","68","Rorbas","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","89","69","Wallisellen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","9","70","Wasterkingen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","30","71","Wil","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aegerter","Christian","37","72","Winkel","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_1004"
"Aeschbach Länzlinger","Verena","233","131","Adliswil","0","0","9","KR 2019 - Wahlkreis IX, Horgen","9_511"
"Aeschbach Länzlinger","Verena","175","135","Kilchberg","0","0","9","KR 2019 - Wahlkreis IX, Horgen","9_511"
"Aeschbach Länzlinger","Verena","92","136","Langnau am Albis","0","0","9","KR 2019 - Wahlkreis IX, Horgen","9_511"
"Aeschbach Länzlinger","Verena","109","137","Oberrieden","0","0","9","KR 2019 - Wahlkreis IX, Horgen","9_511"
"Aeschbach Länzlinger","Verena","222","138","Richterswil","0","0","9","KR 2019 - Wahlkreis IX, Horgen","9_511"
"Aeschbach Länzlinger","Verena","88","139","Rüschlikon","0","0","9","KR 2019 - Wahlkreis IX, Horgen","9_511"
"Aeschbach Länzlinger","Verena","289","141","Thalwil","0","0","9","KR 2019 - Wahlkreis IX, Horgen","9_511"
"Aeschbach Länzlinger","Verena","500","293","Wädenswil","0","0","9","KR 2019 - Wahlkreis IX, Horgen","9_511"
"Aeschbach Länzlinger","Verena","351","295","Horgen","0","0","9","KR 2019 - Wahlkreis IX, Horgen","9_511"
"Aeschbacher","Nathalie","2031","50261","Zürich, Kreis 7+8","0","0","5","KR 2019 - Wahlkreis V, Stadt Zürich 7+8","5_402"
"Aeschbacher","Maja","3","241","Aesch","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_806"
"Aeschbacher","Maja","16","242","Birmensdorf","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_806"
"Aeschbacher","Maja","43","243","Dietikon","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_806"
"Aeschbacher","Maja","9","244","Geroldswil","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_806"
"Aeschbacher","Maja","27","245","Oberengstringen","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_806"
"Aeschbacher","Maja","0","246","Oetwil an der Limmat","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_806"
"Aeschbacher","Maja","22","247","Schlieren","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_806"
"Aeschbacher","Maja","10","248","Uitikon","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_806"
"Aeschbacher","Maja","8","249","Unterengstringen","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_806"
"Aeschbacher","Maja","17","250","Urdorf","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_806"
"Aeschbacher","Maja","14","251","Weiningen","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_806"
"Aeschlimann","Irena","162","80261","Zürich, Kreis 11","0","0","6","KR 2019 - Wahlkreis VI, Stadt Zürich 11+12","6_904"
"Aeschlimann","Irena","57","90261","Zürich, Kreis 12","0","0","6","KR 2019 - Wahlkreis VI, Stadt Zürich 11+12","6_904"
"Affentranger","Simon","1278","20261","Zürich, Kreis 3","0","0","2","KR 2019 - Wahlkreis II, Stadt Zürich 3+9","2_404"
"Affentranger","Simon","1088","60261","Zürich, Kreis 9","0","0","2","KR 2019 - Wahlkreis II, Stadt Zürich 3+9","2_404"
