bfs;gmd;hh1_risikopersonen;hh11_alleinstehend;hh12_paar_beide_alt;hh13_paar_eine_person_alt;hh2_kinderbetreuungsproblem;hh21_alleinerziehend;hh22_elternpaar;hh3_andere
113;Dürnten;28.33597464;10.96671949;11.50554675;5.863708399;19.04912837;1.648177496;17.40095087;52.61489699
114;Fischenthal;27.68762677;9.53346856;10.04056795;8.113590264;21.29817444;2.535496957;18.76267748;51.01419878
115;Gossau;30.72844629;11.50299677;13.04748732;6.177962195;18.76440756;1.475334255;17.28907331;50.50714615
116;Grüningen;29.39297125;11.7571885;10.99041534;6.645367412;19.36102236;0.958466454;18.40255591;51.24600639
117;Hinwil;30.58752271;11.75045427;12.47728649;6.35978195;17.16131637;1.716131637;15.44518474;52.25116091
118;Rüti;30.33749083;13.55465884;10.76669112;6.016140866;16.72780631;1.760821717;14.96698459;52.93470286
119;Seegräben;26.08695652;7.525083612;13.04347826;5.518394649;18.89632107;1.337792642;17.55852843;55.01672241
120;Wald;27.82943978;10.63733273;10.18371513;7.008391926;17.75912905;1.678385121;16.08074393;54.41143116
121;Wetzikon;27.7403269;11.78317481;10.44417767;5.512974421;18.08107859;1.819189214;16.26188937;54.17859451
131;Adliswil;27.98993826;12.8630231;10.87354219;4.253372971;19.26595015;1.69220215;17.573748;52.74411159
135;Kilchberg;28.27483935;14.38457736;9.095402867;4.79485912;21.10726644;1.581809194;19.52545724;50.61789422
136;Langnau a.A.;33.68708308;13.76591874;13.5839903;6.337174045;19.2844148;1.697998787;17.58641601;47.02850212
137;Oberrieden;37.99554566;16.88195991;15.45657016;5.65701559;17.4610245;1.514476615;15.94654788;44.54342984
138;Richterswil;30.52046488;12.36314637;12.19471113;5.962607377;19.2858346;2.172814553;17.11302004;50.19370052
139;Rüschlikon;30.82352941;12.94117647;11.56862745;6.31372549;21.80392157;1.411764706;20.39215686;47.37254902
141;Thalwil;29.01748041;13.33333333;10.5244123;5.15973478;18.87884268;1.531042797;17.34779988;52.10367691
151;Erlenbach;31.33891213;13.05439331;12.13389121;6.150627615;19.07949791;1.548117155;17.53138075;49.58158996
152;Herrliberg;33.75360231;12.82420749;13.58069164;7.34870317;18.40778098;1.548991354;16.85878963;47.83861671
153;Hombrechtikon;31.86813187;13.02599839;12.32913428;6.512999196;19.64620745;2.010184937;17.63602251;48.48566068
154;Küsnacht;35.67242443;16.71807526;12.55397903;6.400370142;19.06230722;1.912399753;17.14990746;45.26526835
