"spatialunit_ontology","spatialunit_hist_id","spatialunit_current_id","spatialunit_name_de","spatialunit_name_fr","spatialunit_name_it","spatialunit_name_en","valid_from","valid_until","canton_hist_id","district_hist_id"
"A.ADM3",12357,4172,"Münchwilen (AG)","Münchwilen (AG)","Münchwilen (AG)","Münchwilen (AG)","01.01.1960","",19,10021
"A.ADM3",12358,4235,"Mühlau","Mühlau","Mühlau","Mühlau","01.01.1960","",19,10019
"A.ADM3",12367,4203,"Möriken-Wildegg","Möriken-Wildegg","Möriken-Wildegg","Möriken-Wildegg","01.01.1960","",19,10020
"A.ADM3",12380,4009,"Muhen","Muhen","Muhen","Muhen","01.01.1960","",19,10026
"A.ADM3",12384,4033,"Mellingen","Mellingen","Mellingen","Mellingen","01.01.1960","",19,10025
"A.ADM3",12392,4234,"Merenschwand","Merenschwand","Merenschwand","Merenschwand","01.01.1960","31.12.2011",19,10019
"A.ADM3",12397,4139,"Menziken","Menziken","Menziken","Menziken","01.01.1960","",19,10022
"A.ADM3",12404,4314,"Mellikon","Mellikon","Mellikon","Mellikon","01.01.1960","",19,10016
"A.ADM3",12406,4171,"Mettau","Mettau","Mettau","Mettau","01.01.1960","31.12.2009",19,10021
"A.ADM3",12411,4202,"Meisterschwanden","Meisterschwanden","Meisterschwanden","Meisterschwanden","01.01.1960","",19,10020
"A.ADM3",12429,4254,"Möhlin","Möhlin","Möhlin","Möhlin","01.01.1960","",19,10018
"A.ADM3",12438,4236,"Muri (AG)","Muri (AG)","Muri (AG)","Muri (AG)","01.01.1960","",19,10019
"A.ADM3",12446,4237,"Oberrüti","Oberrüti","Oberrüti","Oberrüti","01.01.1960","",19,10019
"A.ADM3",12452,4073,"Oberlunkhofen","Oberlunkhofen","Oberlunkhofen","Oberlunkhofen","01.01.1960","",19,10024
"A.ADM3",12453,4037,"Oberrohrdorf","Oberrohrdorf","Oberrohrdorf","Oberrohrdorf","01.01.1960","",19,10025
"A.ADM3",12454,4140,"Oberkulm","Oberkulm","Oberkulm","Oberkulm","01.01.1960","",19,10022
"A.ADM3",12456,4038,"Obersiggenthal","Obersiggenthal","Obersiggenthal","Obersiggenthal","01.01.1960","",19,10025
"A.ADM3",12460,4036,"Oberehrendingen","Oberehrendingen","Oberehrendingen","Oberehrendingen","01.01.1960","31.12.2005",19,10025
"A.ADM3",12465,4010,"Oberentfelden","Oberentfelden","Oberentfelden","Oberentfelden","01.01.1960","",19,10026
"A.ADM3",12467,4109,"Oberflachs","Oberflachs","Oberflachs","Oberflachs","01.01.1960","31.12.2013",19,10023
"A.ADM3",12468,4256,"Obermumpf","Obermumpf","Obermumpf","Obermumpf","01.01.1960","",19,10018
"A.ADM3",12472,4173,"Oberhof","Oberhof","Oberhof","Oberhof","01.01.1960","",19,10021
"A.ADM3",12473,4174,"Oberhofen (AG)","Oberhofen (AG)","Oberhofen (AG)","Oberhofen (AG)","01.01.1960","31.12.2009",19,10021
"A.ADM3",12494,4280,"Oftringen","Oftringen","Oftringen","Oftringen","01.01.1960","",19,10017
"A.ADM3",12508,4257,"Olsberg","Olsberg","Olsberg","Olsberg","01.01.1960","",19,10018
"A.ADM3",12509,4175,"Oeschgen","Oeschgen","Oeschgen","Oeschgen","01.01.1960","",19,10021
"A.ADM3",12514,4034,"Neuenhof","Neuenhof","Neuenhof","Neuenhof","01.01.1960","",19,10025
"A.ADM3",12553,4108,"Oberbözberg","Oberbözberg","Oberbözberg","Oberbözberg","01.01.1960","31.12.2012",19,10023
"A.ADM3",12561,4204,"Niederlenz","Niederlenz","Niederlenz","Niederlenz","01.01.1960","",19,10020
"A.ADM3",12565,4035,"Niederrohrdorf","Niederrohrdorf","Niederrohrdorf","Niederrohrdorf","01.01.1960","",19,10025
"A.ADM3",12569,4072,"Niederwil (AG)","Niederwil (AG)","Niederwil (AG)","Niederwil (AG)","01.01.1960","",19,10024
"A.ADM3",12594,4008,"Küttigen","Küttigen","Küttigen","Küttigen","01.01.1960","",19,10026
"A.ADM3",12636,4170,"Laufenburg","Laufenburg","Laufenburg","Laufenburg","01.01.1960","31.12.2009",19,10021
"A.ADM3",12638,4233,"Kallern","Kallern","Kallern","Kallern","01.01.1960","",19,10019
"A.ADM3",12643,4252,"Kaiseraugst","Kaiseraugst","Kaiseraugst","Kaiseraugst","01.01.1960","",19,10018
"A.ADM3",12644,4071,"Jonen","Jonen","Jonen","Jonen","01.01.1960","",19,10024
"A.ADM3",12645,4169,"Kaisten","Kaisten","Kaisten","Kaisten","01.01.1960","31.12.2009",19,10021
"A.ADM3",12652,4031,"Künten","Künten","Künten","Künten","01.01.1960","",19,10025
"A.ADM3",12653,4308,"Kaiserstuhl","Kaiserstuhl","Kaiserstuhl","Kaiserstuhl","01.01.1960","",19,10016
"A.ADM3",12667,4168,"Ittenthal","Ittenthal","Ittenthal","Ittenthal","01.01.1960","31.12.2009",19,10021
"A.ADM3",12672,4309,"Klingnau","Klingnau","Klingnau","Klingnau","01.01.1960","",19,10016
"A.ADM3",12677,4276,"Kölliken","Kölliken","Kölliken","Kölliken","01.01.1960","",19,10017
"A.ADM3",12685,4310,"Koblenz","Koblenz","Koblenz","Koblenz","01.01.1960","",19,10016
"A.ADM3",12693,4030,"Killwangen","Killwangen","Killwangen","Killwangen","01.01.1960","",19,10025
"A.ADM3",12694,4311,"Leibstadt","Leibstadt","Leibstadt","Leibstadt","01.01.1960","",19,10016
"A.ADM3",12696,4275,"Kirchleerau","Kirchleerau","Kirchleerau","Kirchleerau","01.01.1960","",19,10017
"A.ADM3",12711,4253,"Magden","Magden","Magden","Magden","01.01.1960","",19,10018
"A.ADM3",12712,4032,"Mägenwil","Mägenwil","Mägenwil","Mägenwil","01.01.1960","",19,10025
"A.ADM3",12727,4104,"Lupfig","Lupfig","Lupfig","Lupfig","01.01.1960","31.12.2017",19,10023
"A.ADM3",12753,4105,"Mandach","Mandach","Mandach","Mandach","01.01.1960","",19,10023
"A.ADM3",12775,4313,"Leuggern","Leuggern","Leuggern","Leuggern","01.01.1960","",19,10016
"A.ADM3",12778,4138,"Leutwil","Leutwil","Leutwil","Leutwil","01.01.1960","",19,10022
"A.ADM3",12782,4201,"Lenzburg","Lenzburg","Lenzburg","Lenzburg","01.01.1960","",19,10020
"A.ADM3",12783,4137,"Leimbach (AG)","Leimbach (AG)","Leimbach (AG)","Leimbach (AG)","01.01.1960","",19,10022
"A.ADM3",12786,4312,"Lengnau (AG)","Lengnau (AG)","Lengnau (AG)","Lengnau (AG)","01.01.1960","",19,10016
"A.ADM3",12823,4103,"Linn","Linn","Linn","Linn","01.01.1960","31.12.2012",19,10023
"A.ADM3",12830,4075,"Rudolfstetten-Friedlisberg","Rudolfstetten-Friedlisberg","Rudolfstetten-Friedlisberg","Rudolfstetten-Friedlisberg","01.01.1960","",19,10024
"A.ADM3",12833,4206,"Rupperswil","Rupperswil","Rupperswil","Rupperswil","01.01.1960","",19,10020
"A.ADM3",12835,4317,"Rümikon","Rümikon","Rümikon","Rümikon","01.01.1960","",19,10016
"A.ADM3",12838,4112,"Rüfenach","Rüfenach","Rüfenach","Rüfenach","01.01.1960","",19,10023
"A.ADM3",12851,4238,"Rottenschwil","Rottenschwil","Rottenschwil","Rottenschwil","01.01.1960","",19,10019
"A.ADM3",12852,4282,"Rothrist","Rothrist","Rothrist","Rothrist","01.01.1960","",19,10017
"A.ADM3",12873,4283,"Safenwil","Safenwil","Safenwil","Safenwil","01.01.1960","",19,10017
"A.ADM3",12890,4111,"Riniken","Riniken","Riniken","Riniken","01.01.1960","",19,10023
"A.ADM3",12893,4316,"Rietheim","Rietheim","Rietheim","Rietheim","01.01.1960","",19,10016
"A.ADM3",12911,4258,"Rheinfelden","Rheinfelden","Rheinfelden","Rheinfelden","01.01.1960","",19,10018
"A.ADM3",12936,4011,"Rohr (AG)","Rohr (AG)","Rohr (AG)","Rohr (AG)","01.01.1960","31.12.2009",19,10026
"A.ADM3",12949,4208,"Seengen","Seengen","Seengen","Seengen","01.01.1960","",19,10020
"A.ADM3",12964,4176,"Schwaderloch","Schwaderloch","Schwaderloch","Schwaderloch","01.01.1960","",19,10021
"A.ADM3",12967,4259,"Schupfart","Schupfart","Schupfart","Schupfart","01.01.1960","",19,10018
"A.ADM3",12980,4177,"Sisseln","Sisseln","Sisseln","Sisseln","01.01.1960","",19,10021
"A.ADM3",12983,4239,"Sins","Sins","Sins","Sins","01.01.1960","",19,10019
"A.ADM3",12987,4319,"Siglistorf","Siglistorf","Siglistorf","Siglistorf","01.01.1960","",19,10016
"A.ADM3",12996,4209,"Seon","Seon","Seon","Seon","01.01.1960","",19,10020
"A.ADM3",13005,4144,"Schöftland","Schöftland","Schöftland","Schöftland","01.01.1960","",19,10022
"A.ADM3",13010,4076,"Sarmenstorf","Sarmenstorf","Sarmenstorf","Sarmenstorf","01.01.1960","",19,10024
"A.ADM3",13040,4318,"Schneisingen","Schneisingen","Schneisingen","Schneisingen","01.01.1960","",19,10016
"A.ADM3",13042,4143,"Schmiedrued","Schmiedrued","Schmiedrued","Schmiedrued","01.01.1960","",19,10022
"A.ADM3",13043,4142,"Schlossrued","Schlossrued","Schlossrued","Schlossrued","01.01.1960","",19,10022
"A.ADM3",13050,4114,"Schinznach Bad","Schinznach Bad","Schinznach Bad","Schinznach Bad","01.01.1960","31.12.2002",19,10023
"A.ADM3",13052,4113,"Scherz","Scherz","Scherz","Scherz","01.01.1960","31.12.2017",19,10023
"A.ADM3",13056,4207,"Schafisheim","Schafisheim","Schafisheim","Schafisheim","01.01.1960","",19,10020
"A.ADM3",13065,4115,"Schinznach Dorf","Schinznach Dorf","Schinznach Dorf","Schinznach Dorf","01.01.1960","31.12.2002",19,10023
"A.ADM3",13113,4205,"Othmarsingen","Othmarsingen","Othmarsingen","Othmarsingen","01.01.1960","",19,10020
"A.ADM3",13161,4110,"Remigen","Remigen","Remigen","Remigen","01.01.1960","",19,10023
"A.ADM3",13164,4039,"Remetschwil","Remetschwil","Remetschwil","Remetschwil","01.01.1960","",19,10025
"A.ADM3",13174,4141,"Reinach (AG)","Reinach (AG)","Reinach (AG)","Reinach (AG)","01.01.1960","",19,10022
"A.ADM3",13183,4315,"Rekingen (AG)","Rekingen (AG)","Rekingen (AG)","Rekingen (AG)","01.01.1960","",19,10016
"A.ADM3",13184,4281,"Reitnau","Reitnau","Reitnau","Reitnau","01.01.1960","31.12.2018",19,10017
"A.ADM3",13189,4021,"Baden","Baden","Baden","Baden","01.01.1962","",19,10025
"A.ADM3",13213,4095,"Brugg","Brugg","Brugg","Brugg","01.01.1970","31.12.2009",19,10023
"A.ADM3",13668,4061,"Arni (AG)","Arni (AG)","Arni (AG)","Arni (AG)","01.01.1983","",19,10024
