Stand,Kanton,Jahr,Stufe,Schultyp,Geschlecht,Nationalitaet,Finanzierung,Anzahl
23.11.2020,zh,2000,Tertiärstufe,Höhere Berufsbildung,M,CH,oef,4134
23.11.2020,zh,2000,Tertiärstufe,Höhere Berufsbildung,M,Ausländer,oef,464
23.11.2020,zh,2000,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,CH,priv,254
23.11.2020,zh,2000,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,CH,priv,813
23.11.2020,zh,2000,Tertiärstufe,Höhere Berufsbildung,F,CH,oef,3780
23.11.2020,zh,2000,Tertiärstufe,Höhere Berufsbildung,F,Ausländer,priv,149
23.11.2020,zh,2000,Tertiärstufe,Höhere Berufsbildung,M,Ausländer,priv,252
23.11.2020,zh,2000,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,Ausländer,priv,28
23.11.2020,zh,2000,Tertiärstufe,Höhere Berufsbildung,F,CH,priv,1664
23.11.2020,zh,2001,Primarstufe 1-2,Volksschule,F,Ausländer,priv,176
23.11.2020,zh,2001,Primarstufe 1-2,Heim- und Sonderschule,F,Ausländer,oef,86
23.11.2020,zh,2001,Primarstufe 1-2,Heim- und Sonderschule,M,CH,oef,262
23.11.2020,zh,2001,Primarstufe 1-2,Heim- und Sonderschule,F,CH,oef,135
23.11.2020,zh,2001,Primarstufe 1-2,Heim- und Sonderschule,F,CH,priv,1
23.11.2020,zh,2001,Primarstufe 1-2,Volksschule,M,Ausländer,oef,3525
23.11.2020,zh,2001,Primarstufe 1-2,Volksschule,M,CH,priv,296
23.11.2020,zh,2001,Primarstufe 1-2,Volksschule,F,CH,priv,342
23.11.2020,zh,2001,Primarstufe 1-2,Volksschule,F,Ausländer,oef,3204
23.11.2020,zh,2001,Primarstufe 1-2,Volksschule,F,CH,oef,8284
23.11.2020,zh,2001,Primarstufe 1-2,Volksschule,M,Ausländer,priv,192
23.11.2020,zh,2001,Primarstufe 1-2,Heim- und Sonderschule,M,Ausländer,oef,157
23.11.2020,zh,2001,Primarstufe 1-2,Volksschule,M,CH,oef,8817
23.11.2020,zh,2001,Primarstufe 3-8,Höhere Berufsbildung,F,CH,priv,29
23.11.2020,zh,2001,Primarstufe 3-8,Heim- und Sonderschule,F,CH,oef,337
23.11.2020,zh,2001,Primarstufe 3-8,Volksschule,F,CH,priv,970
23.11.2020,zh,2001,Primarstufe 3-8,Volksschule,F,CH,oef,27435
23.11.2020,zh,2001,Primarstufe 3-8,Heim- und Sonderschule,F,Ausländer,oef,102
23.11.2020,zh,2001,Primarstufe 3-8,Volksschule,M,Ausländer,oef,10644
23.11.2020,zh,2001,Primarstufe 3-8,Volksschule,M,Ausländer,priv,579
23.11.2020,zh,2001,Primarstufe 3-8,Heim- und Sonderschule,M,CH,oef,691
23.11.2020,zh,2001,Primarstufe 3-8,Volksschule,M,CH,priv,1128
23.11.2020,zh,2001,Primarstufe 3-8,Heim- und Sonderschule,F,CH,priv,1
23.11.2020,zh,2001,Primarstufe 3-8,Höhere Berufsbildung,M,Ausländer,priv,5
23.11.2020,zh,2001,Primarstufe 3-8,Volksschule,F,Ausländer,oef,10017
23.11.2020,zh,2001,Primarstufe 3-8,Höhere Berufsbildung,M,CH,priv,35
23.11.2020,zh,2001,Primarstufe 3-8,Höhere Berufsbildung,F,Ausländer,priv,4
23.11.2020,zh,2001,Primarstufe 3-8,Heim- und Sonderschule,M,Ausländer,oef,223
23.11.2020,zh,2001,Primarstufe 3-8,Berufsfachschule,M,CH,oef,1
23.11.2020,zh,2001,Primarstufe 3-8,Berufsfachschule,F,CH,oef,1
23.11.2020,zh,2001,Primarstufe 3-8,Berufsfachschule,F,Ausländer,oef,2
23.11.2020,zh,2001,Primarstufe 3-8,Volksschule,M,CH,oef,28621
23.11.2020,zh,2001,Primarstufe 3-8,Volksschule,F,Ausländer,priv,538
23.11.2020,zh,2001,Primarstufe 3-8,Heim- und Sonderschule,F,Ausländer,priv,1
23.11.2020,zh,2001,Primarstufe 3-8,Heim- und Sonderschule,M,CH,priv,5
23.11.2020,zh,2001,Sekundarstufe I,Mittelschule,F,Ausländer,priv,24
23.11.2020,zh,2001,Sekundarstufe I,Volksschule,F,Ausländer,oef,4075
23.11.2020,zh,2001,Sekundarstufe I,Volksschule,M,Ausländer,priv,296
23.11.2020,zh,2001,Sekundarstufe I,Volksschule,F,CH,priv,907
23.11.2020,zh,2001,Sekundarstufe I,Heim- und Sonderschule,F,CH,oef,162
23.11.2020,zh,2001,Sekundarstufe I,Mittelschule,F,Ausländer,oef,240
23.11.2020,zh,2001,Sekundarstufe I,Mittelschule,F,CH,oef,2825
23.11.2020,zh,2001,Sekundarstufe I,Volksschule,F,CH,oef,10728
23.11.2020,zh,2001,Sekundarstufe I,Volksschule,M,CH,priv,1208
23.11.2020,zh,2001,Sekundarstufe I,Heim- und Sonderschule,M,Ausländer,priv,1
23.11.2020,zh,2001,Sekundarstufe I,Volksschule,F,Ausländer,priv,239
23.11.2020,zh,2001,Sekundarstufe I,Heim- und Sonderschule,F,CH,priv,2
23.11.2020,zh,2001,Sekundarstufe I,Mittelschule,F,CH,priv,189
23.11.2020,zh,2001,Sekundarstufe I,Volksschule,M,Ausländer,oef,4384
23.11.2020,zh,2001,Sekundarstufe I,Mittelschule,M,CH,oef,2269
23.11.2020,zh,2001,Sekundarstufe I,Heim- und Sonderschule,F,Ausländer,oef,54
23.11.2020,zh,2001,Sekundarstufe I,Heim- und Sonderschule,M,CH,priv,6
23.11.2020,zh,2001,Sekundarstufe I,Mittelschule,M,CH,priv,147
23.11.2020,zh,2001,Sekundarstufe I,Volksschule,M,CH,oef,11084
23.11.2020,zh,2001,Sekundarstufe I,Heim- und Sonderschule,M,Ausländer,oef,90
23.11.2020,zh,2001,Sekundarstufe I,Mittelschule,M,Ausländer,oef,188
23.11.2020,zh,2001,Sekundarstufe I,Heim- und Sonderschule,M,CH,oef,339
23.11.2020,zh,2001,Sekundarstufe I,Mittelschule,M,Ausländer,priv,18
23.11.2020,zh,2001,Sekundarstufe II,Mittelschule,M,CH,oef,3643
23.11.2020,zh,2001,Sekundarstufe II,Berufsfachschule,M,CH,oef,16347
23.11.2020,zh,2001,Sekundarstufe II,Brückenangebot,F,Ausländer,priv,35
23.11.2020,zh,2001,Sekundarstufe II,Brückenangebot,F,CH,priv,163
