data_name;organization_name;division_name;department_name;body_name;published;published_format;published_source;published_ressource;accrualPeriodicity;release_status;status_description;status_updated;dct:issued;dct:publisher;dct:title
Anzahl Personen und Stellen nach Ausbildung am 31.12;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Spitex-Klient/innen nach Dienstleistungen und Altersgruppen;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Aufwand und Ertrag der Spitex-Organisationen nach Einzelpositionen;Geschäftsfeld Gesundheitsversorgung;Abteilung Finanzierung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;www.gd.zh.ch/kenndaten;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/unsere_direktion/veroeffentlichungen/kenndatenlangzeit2017/kenndaten_langzeit_2017.xlsx.spooler.download.1537519957286.xlsx/kenndaten_langzeit_2017.xlsx;jährlich;1 in Liste aufgenommen;Langjährige Publikationsreihe, Grundlage Spitalplanungs- und Finanzierungsgesezt;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Gesundheitsversorgungsbericht;Geschäftsfeld Gesundheitsversorgung;Abteilung Datenanalyse;Gesundheitsdirektion;Kanton Zürich;ja;pdf;www.gd.zh.ch/kenndaten;https://gd.zh.ch/internet/gesundheitsdirektion/de/unsere_direktion/veroeffentlichungen/_jcr_content/contentPar/downloadlist_5/downloaditems/2331_1544774189429.spooler.download.1544715417320.pdf/gesundheitsversorgungsbericht_2018_internet.pdf;jährlich;1 in Liste aufgenommen;Politischer Hintergrundbericht, Datenreihe seit 2012, inkl. diverser Tabellen und Grafiken;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Spitalliste Akutsomatilk;Geschäftsfeld Gesundheitsversorgung;Abteilung Versorgungsplanung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/behoerden/spitalplanung_spitallisten.html;https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/behoerden/spitalplanung_spitallisten.html#a-content;min. jährlich;1 in Liste aufgenommen;Aktuell gültige Spitallisten gemäss Regierungsratsbeschluss;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Spitalliste Psychiatrie;Geschäftsfeld Gesundheitsversorgung;Abteilung Versorgungsplanung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/behoerden/spitalplanung_spitallisten/psychiatrie.html#a-content;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/themen/behoerden/projekt_psychiatrieplanung_2012_und_psychiatrie_tarifsystem/psychiatriezuercherspitallistegueltigab1.1.18definitv/spitallistepsychiatrieversion2019.1.xlsx.spooler.download.1546605194327.xlsx/spitallistepsychiatrieversion2019.1.xlsx;min. jährlich;1 in Liste aufgenommen;Aktuell gültige Spitallisten gemäss Regierungsratsbeschluss;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Spitalliste Rehablitation;Geschäftsfeld Gesundheitsversorgung;Abteilung Versorgungsplanung;Gesundheitsdirektion;Kanton Zürich;ja;pdf, xlsx;https://gd.zh.ch/internet/gesundheitsdirektion/de/themen/behoerden/spitalplanung_spitallisten/strukturbericht.html#a-content;https://gd.zh.ch/dam/gesundheitsdirektion/direktion/themen/behoerden/spitalplanung/strukturbericht/strukturbericht_september_2011/rehazuercherspitallisteundanhaengegueltigab01.01.2018definitiv/spitalliste_rehabilitation_version_2019.3.xlsx.spooler.download.1562571622910.xlsx/spitalliste_rehabilitation_version_2019.3.xlsx;min. jährlich;1 in Liste aufgenommen;Aktuell gültige Spitallisten gemäss Regierungsratsbeschluss;20.08.2019;;gesundheitsdirektion-kanton-zuerich;
Aktuelle Abflüsse und Wasserstände;Amt für Abfall, Wasser, Energie und Luft;Abteilung Gewässerschutz;Baudirektion;Kanton Zürich;ja;html;https://awel.zh.ch/internet/baudirektion/awel/de/wasser/messdaten/abfluss_wasserstand/aktuelle_liste.html;;täglich;1 in Liste aufgenommen;;19.08.2019;;;
Jahrbücher Abflüsse und Wasserstände;Amt für Abfall, Wasser, Energie und Luft;Abteilung Gewässerschutz;Baudirektion;Kanton Zürich;ja;html;https://awel.zh.ch/internet/baudirektion/awel/de/wasser/messdaten/abfluss_wasserstand/jb_abfluss.html;;täglich;1 in Liste aufgenommen;;19.08.2019;;;
Messnetz Bodenfeuchte;Amt für Landschaft und Natur;Fachstelle Bodenschutz;Baudirektion;Kanton Zürich;;;https://aln.zh.ch/internet/baudirektion/aln/de/fabo/bodenzustand/messnetz_bodenfeuchte.html;;;1 in Liste aufgenommen;;19.08.2019;;;
