Stand,Kanton,Jahr,Stufe,Typ,Geschlecht,Finanzierung,Land,Anzahl
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,M,oef,Kroatien,1
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,F,oef,Spanien,1
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,F,oef,Deutschland,4
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Deutschland,63
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Kroatien,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Nord-/Westeuropa,4
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Frankreich,8
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Serbien,1
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,M,priv,Schweiz,2
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,F,oef,Schweiz,93
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Asien,2
23.11.2020,zh,2000,Sekundarstufe II,Informatikmittelschule,M,oef,Schweiz,16
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Deutschland,13
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,F,oef,Mittel- und Südamerika,1
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,F,priv,Schweiz,35
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,priv,Liechtenstein,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Griechenland,2
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,F,oef,Süd-/Osteuropa,1
23.11.2020,zh,2000,Sekundarstufe II,Diplommittelschule,F,oef,Türkei,1
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Asien,14
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Türkei,18
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Deutschland,10
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,F,oef,Afrika,1
23.11.2020,zh,2000,Sekundarstufe II,Handelsmittelschule,M,oef,Mittel- und Südamerika,2
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Portugal,1
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Türkei,3
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Kroatien,3
23.11.2020,zh,2000,Sekundarstufe II,andere,M,priv,Asien,7
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Türkei,13
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Kroatien,5
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,F,oef,Süd-/Osteuropa,8
23.11.2020,zh,2000,Sekundarstufe II,andere,F,priv,Italien,24
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,priv,Spanien,3
23.11.2020,zh,2000,Sekundarstufe II,Gymnasium,M,oef,Nordamerika,9
