steuerjahr,einkommensklasse,anzahl_pflichtige,steuerbares_einkommen_in_mio,staatssteuer,anteil_pflichtige,anteil_einkommen,anteil_steuer,kumuliert_anteil_pflichtige,kumuliert_anteil_einkommen,kumuliert_steuer_anteil
2013,150000  -  199999,24878,4253.5613,292.316869,2.9642568625441754,7.66508077737118,9.192729443102847,96.60500961554501,79.63334584326407,65.2673864929545
2013,200000  -  299999,16477,3941.6329,311.245772,1.963263137074539,7.10297382413269,9.78800225280764,98.56827275261955,86.73631966739676,75.05538874576213
2013,300000  -  Inf,12016,7360.3761,793.206273,1.4317272473804492,13.263680332603236,24.944611254237863,100,100,100
2014,0  -  999,59587,2.1393,0,7.070685495880665,0.003775803148258417,0,7.070685495880665,0.003775803148258417,0
2014,1000  -  9999,53143,278.8346,0.43612,6.306030498390356,0.4921350724645335,0.013311983258845948,13.37671599427102,0.4959108756127919,0.013311983258845948
2014,10000  -  19999,54293,820.7648,10.296269,6.442491275409886,1.4486263337632357,0.3142799242331801,19.81920726968091,1.9445372093760276,0.32759190749202605
2014,20000  -  29999,67950,1688.5655,37.110221,8.063051998675737,2.9802696821112273,1.1327401648263629,27.882259268356645,4.924806891487255,1.4603320723183888
2014,30000  -  39999,79744,2792.9687,80.274293,9.462546263169948,4.9295096575736075,2.4502660839486707,37.34480553152659,9.854316549060862,3.9105981562670595
2014,40000  -  49999,93500,4198.2205,146.461238,11.094854479414002,7.4097387841738085,4.470534596729918,48.43966001094059,17.26405533323467,8.381132752996978
2014,50000  -  59999,89017,4872.7356,193.618493,10.562894772128303,8.600238591647205,5.909947118726453,59.002554783068895,25.864293924881874,14.291079871723431
2014,60000  -  69999,74363,4808.3247,210.999513,8.82402848826378,8.48655520034998,6.440479649364046,67.82658327133268,34.35084912523185,20.731559521087476
2014,70000  -  79999,57447,4288.4491,202.943482,6.816749789079103,7.568989675560219,6.194580012097367,74.64333306041178,41.91983880079207,26.926139533184845
2014,80000  -  89999,43680,3697.2059,185.604665,5.183136295837472,6.525462383480388,5.665335671933666,79.82646935624925,48.44530118427246,32.591475205118506
2014,90000  -  99999,33046,3129.1909,164.8633,3.9212894238151352,5.522932198252508,5.03223307713037,83.74775878006439,53.96823338252497,37.62370828224888
2014,100000  -  149999,81252,9736.6563,573.074162,9.641487873383385,17.18491913759181,17.492326998581056,93.38924665344777,71.15315252011678,55.116035280829934
2014,150000  -  199999,26138,4469.1179,306.52568,3.1015754693360766,7.8878649262646885,9.35628891260747,96.49082212278385,79.04101744638146,64.4723241934374
2014,200000  -  299999,16926,4044.0806,318.313534,2.00846531463702,7.137686281162431,9.716097486178322,98.49928743742088,86.17870372754389,74.18842167961573
2014,300000  -  Inf,12647,7830.89,845.624977,1.5007125625791324,13.82129627245611,25.81157832038427,100,100,100
2015,0  -  999,62077,2.1183,0,7.288299764598144,0.003693881859903329,0,7.288299764598144,0.003693881859903329,0
2015,1000  -  9999,52911,277.9952,0.440618,6.212143448373027,0.4847667593920586,0.013268726198276806,13.50044321297117,0.4884606412519619,0.013268726198276806
2015,10000  -  19999,55119,832.7005,10.461438,6.47137900872924,1.452059326668759,0.3150346932314352,19.97182222170041,1.9405199679207208,0.328303419429712
2015,20000  -  29999,68967,1712.6942,37.609879,8.097236816615498,2.9865883193795226,1.1325801188360909,28.06905903831591,4.927108287300244,1.460883538265803
2015,30000  -  39999,79402,2781.6741,79.991311,9.322383135599688,4.8506705840310245,2.4088503054805015,37.3914421739156,9.777778871331268,3.8697338437463045
2015,40000  -  49999,93362,4192.6974,146.436436,10.961390573359084,7.3112065665504655,4.409772126276014,48.35283274727468,17.088985437881732,8.279505970022319
2015,50000  -  59999,89829,4915.3188,195.463711,10.546590195307227,8.571310461672944,5.8861745615433465,58.89942294258191,25.660295899554676,14.165680531565664
2015,60000  -  69999,75470,4880.4096,214.475048,8.860737201124763,8.510435958239182,6.45868005454674,67.76016014370667,34.17073185779386,20.624360586112406
2015,70000  -  79999,57561,4298.5638,203.596631,6.758087902927554,7.49581591108772,6.131088497588832,74.51824804663423,41.66654776888158,26.755449083701237
2015,80000  -  89999,43979,3722.7009,186.927531,5.163460465990009,6.491628817615916,5.6291168943595125,79.68170851262424,48.1581765864975,32.38456597806075
2015,90000  -  99999,33522,3174.7297,167.440564,3.935731183995022,5.536079143146077,5.042288327306292,83.61743969661926,53.69425572964357,37.426854305367044
2015,100000  -  149999,82321,9865.2376,580.446482,9.665095364168433,17.202956245232617,17.479507061470493,93.2825350607877,70.89721197487619,54.90636136683754
2015,150000  -  199999,26867,4594.2801,314.862233,3.1543848732293496,8.011484643678822,9.481729661191862,96.43691993401704,78.90869661855501,64.3880910280294
2015,200000  -  299999,17333,4141.9223,326.231834,2.035022630278197,7.222665179199865,9.824112683793421,98.47194256429523,86.13136179775488,74.21220371182282
2015,300000  -  Inf,13015,7953.1337,856.341977,1.5280574357047672,13.868638202245123,25.787796288177184,100,100,100
2016,0  -  999,62855,2.1917,0,7.2475131534494155,0.003706305963791104,0,7.2475131534494155,0.003706305963791104,0
